,mean_grad_signe_pos,mean_grad_signe_neg,mean_grad_odg,mean_grad_dummy,LM_grad_signe_pos,LM_grad_signe_neg,LM_grad_odg,LM_grad_dummy,mean_grad_input_signe_pos,mean_grad_input_signe_neg,mean_grad_input_odg,mean_grad_input_dummy,LM_grad_input_signe_pos,LM_grad_input_signe_neg,LM_grad_input_odg,LM_grad_input_dummy,mean_IG_signe_pos,mean_IG_signe_neg,mean_IG_odg,mean_IG_dummy,LM_IG_signe_pos,LM_IG_signe_neg,LM_IG_odg,LM_IG_dummy
20,1.0,0.0,0.00033342052725244056,0.00011571097163787799,0.9767441860465116,1.0,0.00026844106536698414,2.907995944689817e-05,1.0,0.975,0.00026087110211224236,3.601860262469476e-05,1.0,0.0,0.00038381835167986407,0.00011896514784362693,1.0,0.975,0.00018485549588762932,2.632086342657658e-05,1.0,0.0,0.00027216627214028574,8.881630562008512e-05
21,0.0,1.0,3.65328210543285e-05,9.468247758152578e-05,0.0,0.0,2.8530384629467185e-05,2.064964606769628e-05,0.027777777777777776,0.0425531914893617,2.7130732850489867e-05,2.9199698508298165e-05,0.0,0.9787234042553191,4.1352221779532056e-05,9.761730542915545e-05,0.027777777777777776,0.06382978723404255,3.597823457772414e-05,1.694363060342843e-05,0.0,0.9787234042553191,5.4781247472144464e-05,5.6719284212896385e-05
22,0.0,1.0,0.00021671447677956834,4.5203704099242276e-05,0.0,0.0,0.00017639326178178343,9.688217825891013e-06,0.023809523809523808,0.0,0.00016832796856758358,1.226942532311633e-05,0.0,1.0,0.00025824353486852123,4.2391408528258695e-05,0.023809523809523808,0.024390243902439025,0.000124969871676622,8.191019197252318e-06,0.0,1.0,0.00019195055944218865,2.8539325415331067e-05
23,0.0,1.0,4.613071563059267e-05,8.188096107884213e-05,0.0,0.0,3.626953508737989e-05,1.9739544762303862e-05,0.02631578947368421,0.0,3.586825381634867e-05,1.9021044586662856e-05,0.0,1.0,5.035583079585582e-05,8.022587817453671e-05,0.02631578947368421,0.0,2.2695657526950177e-05,1.436672122705993e-05,0.0,1.0,3.210803671405711e-05,6.098435360995322e-05
24,0.0,1.0,0.00016877182259546433,5.502379055007152e-05,0.0,0.0,0.0001363138251679203,1.2712027621947454e-05,0.05128205128205128,0.022727272727272728,0.00012494006852359804,1.596155900044858e-05,0.0,1.0,0.0001899002982702693,5.482386676674447e-05,0.07692307692307693,0.0,8.052095582647177e-05,8.117771895159827e-06,0.0,1.0,0.00012345576534613127,2.743206373662401e-05
25,1.0,0.0,0.0001876924692436909,0.00014223802195199902,1.0,1.0,0.00015265685219906493,2.9578938398388797e-05,1.0,1.0,0.00014306217188123383,4.10316313035425e-05,1.0,0.0,0.0002292714283861767,0.000140224588833943,1.0,1.0,0.00011572244925829806,3.5333446177274016e-05,1.0,0.0,0.00018567337183567607,0.0001230973107458052
26,1.0,0.0,0.00011466328795325854,9.319121518304266e-05,1.0,1.0,8.939329311187154e-05,2.2316962608754152e-05,0.9545454545454546,1.0,8.643596308721121e-05,2.882681524607668e-05,1.0,0.0,0.00012993722670167352,9.138338782923063e-05,0.9545454545454546,1.0,5.977393177463126e-05,1.8870825420117948e-05,1.0,0.0,9.04852851756567e-05,5.984533443110675e-05
27,0.1282051282051282,1.0,3.248197740559578e-05,0.00014858393475702838,0.3076923076923077,0.0,2.787187122820664e-05,3.6056130056329226e-05,0.28205128205128205,0.0,2.7752587317551494e-05,3.961309351882327e-05,0.10256410256410256,0.9772727272727273,3.943473204266183e-05,0.00015286220018151492,0.02564102564102564,0.0,6.537136090606421e-05,1.4314744104116887e-05,0.0,1.0,9.493817814426798e-05,5.532890785835951e-05
28,0.0,1.0,0.00011060302066679035,2.74010856219032e-05,0.0,0.0,8.425756984760814e-05,5.77578433316226e-06,0.025,0.0,8.323730305771033e-05,8.376486531900147e-06,0.025,1.0,0.00012409280629247754,2.7050377703560306e-05,0.025,0.0,6.315826332060586e-05,6.188579338044749e-06,0.025,1.0,9.489096912090719e-05,2.0423096927730772e-05
29,1.0,0.0,4.2763708137513055e-05,6.159074495047667e-05,1.0,1.0,3.2616076443341336e-05,1.3717447272741125e-05,1.0,1.0,3.103591802258387e-05,1.8194464936972767e-05,1.0,0.0,4.871807652782814e-05,5.894292720606058e-05,1.0,1.0,3.503875996376523e-05,1.1805446938924898e-05,1.0,0.0,5.500941934151121e-05,3.875816384516543e-05
