,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
165,186.0,-1.23983204007695e-06,Caltha,Pastures,,70,0.03333333333333333,-0.8680881284742454
166,188.5,-1.2521610802068176e-06,Erica,Y,95,,0.0,-0.8767205020750732
167,189.5,1.3190960488525715e-06,Pyrus,Discontinuous_urban_fabric,,71,0.0,0.9235860853016274
168,189.5,1.241808735541878e-06,Trifolium,sinD,96,,1.0,0.869472143253059
169,192.0,1.2784873689021668e-06,Ligustrum,Ligustrum,97,,0.6333333333333333,0.8951532719539674
170,192.0,1.2546164794000274e-06,Taraxacum,sinD,98,,1.0,0.8784396888853757
171,195.5,1.250679333200981e-06,Viola,Y,99,,0.0,0.8756830333344774
172,196.5,1.1763598346945828e-06,Scabiosa,Scabiosa,100,,0.4666666666666667,0.8236470540387983
173,197.5,1.2826660478607652e-06,Malus,Complex_cultivation_patterns,,72,1.0,0.8980790405092303
174,198.0,1.2272675454801262e-06,Ribes,Temperature,101,,1.0,0.8592908976823194
175,198.0,-1.286689958092303e-06,Phyteuma,Y,102,,0.0,-0.9008964452778851
176,198.5,1.168959618153324e-06,Lonicera,sinD,103,,1.0,0.8184656746906676
177,199.0,1.303633321714022e-06,Caltha,Temperature,104,,1.0,0.9127596108849975
178,200.5,-1.2427852633404795e-06,Melilotus,Y,105,,0.0,-0.8701558747277177
179,201.0,1.2403379502362127e-06,Viburnum,Y,106,,0.0,0.8684423495212377
180,201.0,1.2441954094614935e-06,Senecio,Temperature,107,,1.0,0.8711432109696415
181,202.0,9.341669489067806e-07,Cardamine,Road_and_rail_networks_and_associated_land,,73,0.9666666666666667,0.6540718517878055
182,205.5,1.228845186741655e-06,Dianthus,sinD,108,,1.0,0.860395508311707
183,209.0,-1.180352830451928e-06,Genista,Industrial_or_commercial_units,,74,0.0,-0.826442813546501
184,209.5,-1.1912975931202067e-06,Cotoneaster,Y,109,,0.0,-0.8341059632588693
185,209.5,1.1927131483515702e-06,Erica,Industrial_or_commercial_units,,75,0.0,0.8350970867754628
186,209.5,1.2224657185765356e-06,Aquilegia,Road_and_rail_networks_and_associated_land,,76,0.9666666666666667,0.8559288221791436
187,211.0,1.204072524366124e-06,Ligustrum,Industrial_or_commercial_units,,77,0.0,0.8430505346186861
188,212.0,1.1721969571875787e-06,Verbascum,sinD,110,,1.0,0.820732349121269
189,212.0,1.2070523551169794e-06,Myosotis,Discontinuous_urban_fabric,,78,0.0,0.8451369105277322
190,212.0,-1.1672405002274222e-06,Knautia,Y,111,,0.0,-0.8172620069238384
191,213.0,1.2280028103394647e-06,Digitalis,Sport_and_leisure_facilities,,79,0.7,0.8598057050715819
192,214.5,-1.186665681789358e-06,Chelidonium,Y,112,,0.0,-0.8308628568472899
193,216.0,1.1774643883805577e-06,Carduus,Carduus,113,,0.9666666666666667,0.8244204248753818
194,221.0,1.1502228499376682e-06,Sambucus,Industrial_or_commercial_units,,80,0.0,0.8053468283242075
195,221.5,1.2170923009509874e-06,Malus,sinD,114,,1.0,0.8521665383380329
196,221.5,1.0937946374553286e-06,Iris,Industrial_or_commercial_units,,81,0.0,0.7658377175869975
197,222.0,1.1925297236788003e-06,Convolvulus,Mixed_forest,,82,1.0,0.8349686590725531
198,222.5,1.1495220937694606e-06,Stellaria,Discontinuous_urban_fabric,,83,0.0,0.8048561827440703
199,223.0,1.1756254901745542e-06,Caltha,Mixed_forest,,84,1.0,0.8231328910397462
200,223.0,1.167823421386091e-06,Ligustrum,Complex_cultivation_patterns,,85,1.0,0.8176701484473027
201,224.5,1.063806508025315e-06,Rubus,cosD,115,,0.06666666666666667,0.7448410516581767
202,225.5,1.1190679973575784e-06,Echium,Complex_cultivation_patterns,,86,1.0,0.7835332626194023
203,230.0,3.713543161192774e-07,Angelica,Angelica,116,,0.26666666666666666,0.2600096326441194
204,232.5,1.1024851421833044e-06,Caltha,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,87,0.0,0.7719225127374251
205,233.0,1.0552829091202251e-06,Melilotus,Industrial_or_commercial_units,,88,0.0,0.7388731182750989
206,234.5,1.1173822024723925e-06,Erica,Complex_cultivation_patterns,,89,1.0,0.7823529265096969
207,235.0,1.095259023989484e-06,Prunus,Temperature,117,,1.0,0.7668630311171422
208,237.5,-1.1917646896301306e-06,Pyrus,Road_and_rail_networks_and_associated_land,,90,0.9666666666666667,-0.8344330083117553
209,239.5,-1.1846483140633373e-06,Globularia,sinD,118,,1.0,-0.8294503647377806
210,240.5,1.0822694522251193e-06,Medicago,Industrial_or_commercial_units,,91,0.0,0.7577681757834234
211,241.5,1.1088113774289645e-06,Pyrus,sinD,119,,1.0,0.7763519269944983
212,243.0,1.1130504364966948e-06,Ranunculus,Ranunculus,120,,0.0,0.7793199716438116
213,243.0,-1.118100614482151e-06,Cotoneaster,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,92,0.0,-0.7828559341081988
214,244.0,1.0994140807464347e-06,Dipsacus,Continuous_urban_fabric,,93,0.0,0.7697722602120942
215,244.0,-1.1113125631552287e-06,Cistus,Green_urban_areas,,94,1.0,-0.7781031719743783
216,244.0,1.0451363977748697e-06,Papaver,sinD,121,,1.0,0.7317688769265809
217,245.5,1.1022553646608537e-06,Silene,sinD,122,,1.0,0.7717616303493419
218,249.0,1.0439835585102827e-06,Stellaria,Complex_cultivation_patterns,,95,1.0,0.730961698173913
219,250.0,1.057282177176802e-06,Globularia,Transitional_woodland-shrub,,96,0.0,0.7402729376130833
220,250.0,-1.0983450830044004e-06,Heracleum,Y,123,,0.0,-0.7690237844353526
221,250.0,1.027874308652518e-06,Trifolium,Complex_cultivation_patterns,,97,1.0,0.7196825505893071
222,250.5,-1.0513168744126999e-06,Galium,Transitional_woodland-shrub,,98,0.0,-0.7360962359753757
223,251.0,1.0775912767566655e-06,Ribes,Green_urban_areas,,99,1.0,0.7544926767998417
224,254.0,1.0477971481897756e-06,Centaurea,sinD,124,,1.0,0.733631843661873
225,254.5,1.105221235309975e-06,Angelica,Green_urban_areas,,100,1.0,0.7738382318710549
226,255.5,1.0914774139151128e-06,Campanula,Transitional_woodland-shrub,,101,0.0,0.7642152766585006
227,255.5,1.0586957432915507e-06,Daucus,sinD,125,,1.0,0.7412626684180321
228,257.5,1.0416316656098437e-06,Melilotus,Continuous_urban_fabric,,102,0.0,0.7293149829412696
229,258.0,1.0176286497543937e-06,Nerium,Industrial_or_commercial_units,,103,0.0,0.7125088895042893
230,258.0,-1.0486255914927095e-06,Genista,Y,126,,0.0,-0.7342118914208793
231,259.0,1.062853344928832e-06,Ribes,Ribes,127,,0.4,0.7441736793514364
232,259.0,1.0368231885802123e-06,Rosmarinus,Temperature,128,,1.0,0.7259482512465434
233,261.5,-1.0416927998357413e-06,Cistus,Y,129,,0.0,-0.7293577870421718
234,262.0,-1.0515812025950625e-06,Echium,Y,130,,0.0,-0.7362813095576941
235,263.0,1.049579066554836e-06,Potentilla,Vineyards,,104,0.7333333333333333,0.7348794821553282
236,263.0,1.0381436442458805e-06,Heracleum,Temperature,131,,1.0,0.72687278928919
237,264.0,-1.0337705050293448e-06,Iris,Y,132,,0.0,-0.7238108662904875
238,264.5,-9.94131583955769e-07,Galium,Y,133,,0.0,-0.6960570450492142
239,265.5,-1.0056372171159488e-06,Aquilegia,Natural_grasslands,,105,0.23333333333333334,-0.7041128971598855
240,265.5,1.048091886774993e-06,Daucus,Temperature,134,,1.0,0.7338382095715769
241,266.5,-1.0254137694090358e-06,Cardamine,Cardamine,135,,1.0,-0.7179597648910286
242,267.0,1.0449220274345295e-06,Ranunculus,Industrial_or_commercial_units,,106,0.0,0.7316187821221791
243,267.0,9.756241351338837e-07,Calystegia,Calystegia,136,,0.03333333333333333,0.6830987603047531
244,267.5,-1.1760024858266356e-07,Syringa,Syringa,137,,0.03333333333333333,-0.08233968505435173
245,267.5,5.168782372309805e-07,Knautia,Continuous_urban_fabric,,107,0.0,0.36190052128275435
246,269.5,1.032296190233741e-06,Vicia,sinD,138,,1.0,0.7227786013301319
247,270.5,1.0116425700719417e-06,Digitalis,Road_and_rail_networks_and_associated_land,,108,0.9666666666666667,0.7083176405766403
248,271.0,9.862102199135364e-07,Scabiosa,Complex_cultivation_patterns,,109,1.0,0.6905107759868676
249,272.5,1.064443330482491e-06,Syringa,sinD,139,,1.0,0.7452869330333555
250,273.5,1.0151902868168876e-06,Myosotis,sinD,140,,1.0,0.710801630899463
251,274.5,9.891454450536879e-07,Veronica,Temperature,141,,1.0,0.6925659205679082
252,277.0,9.822274176965388e-07,Viburnum,Transitional_woodland-shrub,,110,0.0,0.6877221536486178
253,278.0,9.808866661458865e-07,Clematis,Discontinuous_urban_fabric,,111,0.0,0.686783405119194
254,278.5,1.052291452317648e-06,Syringa,Discontinuous_urban_fabric,,112,0.0,0.7367786022009705
255,280.0,9.628851522519828e-07,Ajuga,Industrial_or_commercial_units,,113,0.0,0.6741793587639376
256,281.0,-9.304156232289738e-07,Rhododendron,Complex_cultivation_patterns,,114,1.0,-0.6514453014312406
257,283.0,9.813061494628226e-07,Silene,Industrial_or_commercial_units,,115,0.0,0.687077113037488
258,283.0,1.0095862605127926e-06,Stellaria,Industrial_or_commercial_units,,116,0.0,0.7068778827231049
259,283.0,1.0119107389499595e-06,Ajuga,Discontinuous_urban_fabric,,117,0.0,0.7085054032831267
260,284.0,9.505344706882724e-07,Clematis,Complex_cultivation_patterns,,118,1.0,0.6655318325688916
261,285.5,9.787285001165474e-07,Thymus,Continuous_urban_fabric,,119,0.0,0.685272330837528
